OrderID,City,ShippingMethod
1.00,Vancouver,Standard
2.00,Los Angeles,Expedited
3.00,Burnaby,Standard
4.00,Vancouver,Standard
5.00,Los Angeles,Standard
6.00,Surrey,Standard
7.00,Langley,Standard
8.00,Burnaby,Standard
9.00,Burnaby,Standard
10.00,Langley,Nextday
11.00,New York,Standard
12.00,New York,Standard
13.00,Burnaby,Standard
14.00,Portland,Standard
15.00,Surrey,Standard
16.00,Vancouver,Nextday
17.00,Burnaby,Standard
18.00,Surrey,Standard
19.00,Burnaby,Standard
20.00,Langley,Standard
21.00,Portland,Standard
22.00,Surrey,Standard
23.00,Burnaby,Standard
24.00,Burnaby,Expedited
25.00,Vancouver,Expedited
26.00,Langley,Standard
27.00,Vancouver,Standard
28.00,Vancouver,Standard
29.00,Langley,Standard
30.00,Vancouver,Standard
31.00,Surrey,Standard
32.00,Portland,Standard
33.00,Vancouver,Nextday
34.00,Surrey,Standard
35.00,Burnaby,Standard
36.00,Vancouver,Standard
37.00,Surrey,Expedited
38.00,Surrey,Nextday
39.00,Seattle,Standard
40.00,Surrey,Standard
41.00,Vancouver,Standard
42.00,Langley,Nextday
43.00,Seattle,Standard
44.00,Los Angeles,Standard
45.00,Seattle,Standard
46.00,Vancouver,Standard
47.00,Los Angeles,Nextday
48.00,Surrey,Standard
49.00,Langley,
50.00,Burnaby,Standard
51.00,Vancouver,Standard
52.00,Vancouver,Standard
53.00,Kelowna,Standard
54.00,Kelowna,Standard
55.00,Seoul,Standard
56.00,Seoul,Nextday
57.00,Vancouver,Standard
58.00,Burnaby,Standard
59.00,Burnaby,Standard
60.00,Surrey,Standard
61.00,Burnaby,
62.00,Surrey,Standard
63.00,Seoul,Standard
64.00,Burnaby,Standard
65.00,Vancouver,Standard
66.00,Burnaby,Expedited
67.00,Tokyo,Standard
68.00,Vancouver,Standard
69.00,Surrey,Expedited
70.00,Vancouver,Expedited
71.00,Tokyo,Nextday
72.00,Burnaby,Standard
73.00,Surrey,Standard
